mk123,
Wavelength (nm),Abs
1126,2.04554677
1125,2.055783749
1124,2.064012766
1123,2.072452307
1122,2.076004982
1121,2.081006289
1120,2.081598759
1119,2.076645136
1118,2.069790125
1117,2.054382324
1116,2.035321712
1115,2.010140896
1114,1.983778119
1113,1.948902726
1112,1.912350655
1111,1.877601266
1110,1.837755919
1109,1.800481558
1108,1.763596177
1107,1.725289941
1106,1.688441992
1105,1.654675007
1104,1.62279737
1103,1.592433095
1102,1.563529611
1101,1.53699708
1100,1.510909677
1099,1.487797141
1098,1.467191219
1097,1.448160291
1096,1.429982305
1095,1.414408803
1094,1.399381042
1093,1.386251211
1092,1.375175834
1091,1.364756584
1090,1.355834723
1089,1.348027825
1088,1.340690494
1087,1.334284782
1086,1.328675032
1085,1.324124336
1084,1.320521951
1083,1.317154527
1082,1.314896464
1081,1.313137412
1080,1.312260628
1079,1.312188983
1078,1.313131452
1077,1.315473914
1076,1.318551421
1075,1.323471785
1074,1.330034137
1073,1.337629795
1072,1.347218275
1071,1.358206153
1070,1.370657206
1069,1.383791685
1068,1.397560835
1067,1.411163211
1066,1.423133612
1065,1.434241056
1064,1.443635702
1063,1.452146411
1062,1.458773136
1061,1.464564085
1060,1.468369842
1059,1.471934795
1058,1.475269198
1057,1.477417827
1056,1.478899121
1055,1.48060143
1054,1.481990099
1053,1.484205961
1052,1.486710906
1051,1.491003156
1050,1.497163534
1049,1.506186366
1048,1.518366218
1047,1.533822298
1046,1.554056883
1045,1.579396248
1044,1.610863328
1043,1.649374366
1042,1.694312334
1041,1.742483497
1040,1.795811176
1039,1.851088643
1038,1.904105306
1037,1.957613587
1036,2.004909277
1035,2.040148258
1034,2.064352989
1033,2.077062368
1032,2.078098297
1031,2.066273451
1030,2.043828249
1029,2.014431477
1028,1.981564879
1027,1.942803264
1026,1.903888464
1025,1.863555551
1024,1.823395133
1023,1.786074758
1022,1.753229737
1021,1.722033024
1020,1.694730163
1019,1.672249079
1018,1.650834203
1017,1.633411288
1016,1.619460106
1015,1.608790994
1014,1.601257086
1013,1.595597625
1012,1.592978477
1011,1.593037367
1010,1.595009208
1009,1.599905133
1008,1.607092738
1007,1.61657846
1006,1.628038883
1005,1.643139839
1004,1.660540462
1003,1.679632306
1002,1.703792691
1001,1.730620861
1000,1.760107398
999,1.796674371
998,1.836698771
997,1.879514098
996,1.925645709
995,1.974519014
994,2.025241375
993,2.075725079
992,2.126663446
991,2.172523975
990,2.213118315
989,2.246701002
988,2.272830009
987,2.292878151
986,2.301851273
985,2.304780722
984,2.298485756
983,2.281421661
982,2.261827946
981,2.234420776
980,2.201298237
979,2.16425705
978,2.129861832
977,2.093720198
976,2.059187651
975,2.029283047
974,2.00229764
973,1.9798733
972,1.96338141
971,1.952338099
970,1.94231081
969,1.935635924
968,1.92916429
967,1.921907783
966,1.910614967
965,1.894928455
964,1.876737118
963,1.854311585
962,1.828979135
961,1.800669193
960,1.770323277
959,1.740824699
958,1.712064862
957,1.682706833
956,1.654480696
955,1.626760364
954,1.599522233
953,1.574917197
952,1.552955508
951,1.531949401
950,1.513221264
949,1.495785475
948,1.478803754
947,1.46408236
946,1.451402783
945,1.439068556
944,1.428028345
943,1.418355227
942,1.408580303
941,1.400590301
940,1.393030047
939,1.386486769
938,1.380728245
937,1.375687957
936,1.371097445
935,1.367758989
934,1.365232587
933,1.363340259
932,1.363095999
931,1.363814473
930,1.364873886
929,1.366639733
928,1.368813872
927,1.370441914
926,1.371578097
925,1.37195158
924,1.371298671
923,1.369078755
922,1.365628719
921,1.361764431
920,1.35687542
919,1.351100802
918,1.346000075
917,1.34034276
916,1.334837079
915,1.330299854
914,1.326372147
913,1.322458863
912,1.319620132
911,1.317173243
910,1.314619064
909,1.312893748
908,1.312181115
907,1.311380386
906,1.310863614
905,1.310801506
904,1.311320186
903,1.311931133
902,1.313386917
901,1.314677238
900,1.316551924
899,1.318620682
898,1.321295261
897,1.324429512
896,1.327763081
895,1.332033396
894,1.336463928
893,1.341668248
892,1.347293139
891,1.353655815
890,1.360787511
889,1.368100882
888,1.375680208
887,1.383396745
886,1.391238213
885,1.399420261
884,1.406805038
883,1.413749218
882,1.419487357
881,1.424515367
880,1.427849174
879,1.430325508
878,1.431948066
877,1.431597471
876,1.430293202
875,1.428519368
874,1.425930142
873,1.422982574
872,1.419666767
871,1.416945457
870,1.413717031
869,1.411282301
868,1.409340262
867,1.407633901
866,1.407040596
865,1.406462073
864,1.406382084
863,1.406715751
862,1.407526731
861,1.409033298
860,1.410018086
859,1.411844969
858,1.413329363
857,1.414794087
856,1.41633296
855,1.417969346
854,1.419671297
853,1.421160579
852,1.422498226
851,1.424242377
850,1.42515099
849,1.426464319
848,1.427380204
847,1.428632379
846,1.429921746
845,1.430740476
844,1.431729436
843,1.43302381
842,1.434061885
841,1.434928656
840,1.436226606
839,1.438027143
838,1.439509869
837,1.440778971
836,1.441834331
835,1.443422437
834,1.445076585
833,1.446513653
832,1.447976589
831,1.449713349
830,1.450783372
829,1.452461362
828,1.453839779
