doc,,mk123,,doc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1252,1.06899178,1252,1.737668037,1252,1.06899178,
1251,1.070216894,1251,1.732371449,1251,1.070216894,
1250,1.071613789,1250,1.725655437,1250,1.071613789,
1249,1.073010564,1249,1.718962193,1249,1.073010564,
1248,1.074499369,1248,1.712080717,1248,1.074499369,
1247,1.076039672,1247,1.704801679,1247,1.076039672,
1246,1.077401161,1246,1.697373509,1246,1.077401161,
1245,1.0790658,1245,1.690551162,1245,1.0790658,
1244,1.080636024,1244,1.683936238,1244,1.080636024,
1243,1.08221221,1243,1.678085685,1243,1.08221221,
1242,1.083786249,1242,1.672256708,1242,1.083786249,
1241,1.085473299,1241,1.666602254,1241,1.085473299,
1240,1.087247849,1240,1.661534548,1240,1.087247849,
1239,1.088700891,1239,1.656637192,1239,1.088700891,
1238,1.090352416,1238,1.652927041,1238,1.090352416,
1237,1.092034101,1237,1.649198651,1237,1.092034101,
1236,1.093640685,1236,1.645555615,1236,1.093640685,
1235,1.095152736,1235,1.642570257,1235,1.095152736,
1234,1.09704268,1234,1.640644312,1234,1.09704268,
1233,1.098530054,1233,1.638438225,1233,1.098530054,
1232,1.100110769,1232,1.637064695,1232,1.100110769,
1231,1.102065802,1231,1.636219501,1231,1.102065802,
1230,1.10361588,1230,1.635320783,1230,1.10361588,
1229,1.10501945,1229,1.63470149,1229,1.10501945,
1228,1.106743574,1228,1.634511948,1228,1.106743574,
1227,1.108671308,1227,1.634736896,1227,1.108671308,
1226,1.110006213,1226,1.634930015,1226,1.110006213,
1225,1.111579776,1225,1.636342406,1225,1.111579776,
1224,1.113412738,1224,1.637067914,1224,1.113412738,
1223,1.114840984,1223,1.638445854,1223,1.114840984,
1222,1.116240382,1222,1.639856219,1222,1.116240382,
1221,1.118106484,1221,1.641948104,1221,1.118106484,
1220,1.119685173,1220,1.643786192,1220,1.119685173,
1219,1.120939732,1219,1.646008372,1219,1.120939732,
1218,1.122719049,1218,1.648881197,1218,1.122719049,
1217,1.12429595,1217,1.650993824,1217,1.12429595,
1216,1.125665426,1216,1.65350759,1216,1.125665426,
1215,1.127127886,1215,1.656640887,1215,1.127127886,
1214,1.1288656,1214,1.660238266,1214,1.1288656,
1213,1.130097032,1213,1.663053155,1213,1.130097032,
1212,1.131302476,1212,1.666081786,1212,1.131302476,
1211,1.133237481,1211,1.669764757,1211,1.133237481,
1210,1.134960413,1210,1.673348188,1210,1.134960413,
1209,1.136217356,1209,1.676797867,1209,1.136217356,
1208,1.137952089,1208,1.680797935,1208,1.137952089,
1207,1.139468193,1207,1.684507966,1207,1.139468193,
1206,1.140695453,1206,1.688603878,1206,1.140695453,
1205,1.141590357,1205,1.693044901,1205,1.141590357,
1204,1.143108964,1204,1.697820544,1204,1.143108964,
1203,1.144233346,1203,1.701978207,1203,1.144233346,
1202,1.145149708,1202,1.707116485,1202,1.145149708,
1201,1.145972013,1201,1.712696552,1201,1.145972013,
1200,1.147004366,1200,1.718298316,1200,1.147004366,
1199,1.14411962,1199,1.720033765,1199,1.14411962,
1198,1.144489646,1198,1.726160884,1198,1.144489646,
1197,1.144716978,1197,1.731746674,1197,1.144716978,
1196,1.144930601,1196,1.738784909,1196,1.144930601,
1195,1.145061731,1195,1.74600637,1195,1.145061731,
1194,1.144774437,1194,1.752378106,1194,1.144774437,
1193,1.144400954,1193,1.759325624,1193,1.144400954,
1192,1.143850684,1192,1.767148376,1192,1.143850684,
1191,1.143059015,1191,1.773555875,1191,1.143059015,
1190,1.141932726,1190,1.779800177,1190,1.141932726,
1189,1.140817285,1189,1.78697741,1189,1.140817285,
